Neighborhood,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId,venuePage.id,Rating
Downtown,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",False,4aad5fd7f964a520f75f20e3,800 West Pender St.,CA,Vancouver,Canada,at Howe St.,445,"['800 West Pender St. (at Howe St.)', 'Vancouver BC V6C 1J8', 'Canada']","[{'label': 'display', 'lat': 49.28534805490103, 'lng': -123.11603075667476}]",49.28534805490103,-123.11603075667476,V6C 1J8,BC,Sciué Italian Bakery Caffé,v-1563626115,,6.8
Downtown,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,4eefc782d5fbe9f4b1f525f5,1115 Melville St.,CA,Vancouver,Canada,Thurlow St.,655,"['1115 Melville St. (Thurlow St.)', 'Vancouver BC V6E 0A7', 'Canada']","[{'label': 'display', 'lat': 49.2867927085584, 'lng': -123.12244195945912}]",49.2867927085584,-123.12244195945912,V6E 0A7,BC,Sciué Italian Bakery Caffé,v-1563626115,,7.8
Downtown,"[{'id': '4bf58dd8d48988d124941735', 'name': 'Office', 'pluralName': 'Offices', 'shortName': 'Office', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",False,4edf9e2e02d54f50bc4f8ee4,405 - 889 West Pender Street,CA,Vancouver,Canada,,516,"['405 - 889 West Pender Street', 'Vancouver BC V6C 3B2', 'Canada']","[{'label': 'display', 'lat': 49.28611602207501, 'lng': -123.11653503034256}]",49.28611602207501,-123.11653503034256,V6C 3B2,BC,Italian Chamber Of Commerce In Canada - West,v-1563626115,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,526d9a8f498e5b63d9118a50,,CA,,Canada,,644,['Canada'],"[{'label': 'display', 'lat': 49.27780358893573, 'lng': -123.11147870769443}]",49.27780358893573,-123.11147870769443,,,Frankie's Italian Kitchen + Bar,v-1563626115,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d111951735', 'name': 'Jewelry Store', 'pluralName': 'Jewelry Stores', 'shortName': 'Jewelry', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/jewelry_', 'suffix': '.png'}, 'primary': True}]",False,5129bee6e4b096ae4d2327fd,,CA,,Canada,,804,['Canada'],"[{'label': 'display', 'lat': 49.278870626284906, 'lng': -123.10792696736199}]",49.278870626284906,-123.10792696736199,,,Italian Diamond Factory,v-1563626115,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d1ff941735', 'name': 'Miscellaneous Shop', 'pluralName': 'Miscellaneous Shops', 'shortName': 'Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}, 'primary': True}]",False,4d3cbbe76e0aa1cd8ebbe52c,,CA,,Canada,,869,['Canada'],"[{'label': 'display', 'lat': 49.279090572778045, 'lng': -123.10684857317382}]",49.279090572778045,-123.10684857317382,,,Italian Shoe Master,v-1563626115,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d102951735', 'name': 'Accessories Store', 'pluralName': 'Accessories Stores', 'shortName': 'Accessories', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/apparel_accessories_', 'suffix': '.png'}, 'primary': True}]",False,514a501b72da1638f190ad89,1204 Seymour Street,CA,Vancouver,Canada,Seymour Street at Davie,785,"['1204 Seymour Street (Seymour Street at Davie)', 'Vancouver British Colombia V6B 2G4', 'Canada']","[{'label': 'display', 'lat': 49.276316821041135, 'lng': -123.1253457069397}]",49.276316821041135,-123.1253457069397,V6B 2G4,British Colombia,Pelle Italian Leather,v-1563626115,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d127951735', 'name': 'Arts & Crafts Store', 'pluralName': 'Arts & Crafts Stores', 'shortName': 'Arts & Crafts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/artstore_', 'suffix': '.png'}, 'primary': True}]",False,50e8a0c5e4b09c384292dc12,88 Pender St W Suite 1073,CA,Vancouver,Canada,,838,"['88 Pender St W Suite 1073', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.28023748900084, 'lng': -123.1068320661716}]",49.28023748900084,-123.1068320661716,,BC,Marko's italian shoe doctor,v-1563626115,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d146941735', 'name': 'Deli / Bodega', 'pluralName': 'Delis / Bodegas', 'shortName': 'Deli / Bodega', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",False,4f9f06f3e4b0614494d832ea,621 Main St,CA,,Canada,,1372,"['621 Main St', 'Canada']","[{'label': 'display', 'lat': 49.278884, 'lng': -123.099744}]",49.278884,-123.099744,,,Todo- Italian ingredient,v-1563626115,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d1d0941735', 'name': 'Dessert Shop', 'pluralName': 'Dessert Shops', 'shortName': 'Desserts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dessert_', 'suffix': '.png'}, 'primary': True}]",False,51ef1e24498e4597786fbad8,,CA,,Canada,,1857,['Canada'],"[{'label': 'display', 'lat': 49.28448, 'lng': -123.143374}]",49.28448,-123.143374,,,Gratta d' Oro Italian Shaved Ice,v-1563626115,,-1.0
Downtown,"[{'id': '4bf58dd8d48988d110941735', 'name': 'Italian Restaurant', 'pluralName': 'Italian Restaurants', 'shortName': 'Italian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}, 'primary': True}]",False,5653e329498e22f9d5e35dac,1725 Davie Street,CA,Vancouver,Canada,,1736,"['1725 Davie Street', 'Vancouver BC', 'Canada']","[{'label': 'display', 'lat': 49.28658293766292, 'lng': -123.14084706586299}]",49.28658293766292,-123.14084706586299,,BC,Grotto Italian,v-1563626115,,-1.0
